id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,51 Eridani b,97,2 Jupiters,5.21149,2015
1,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
2,55 Cancri b,41,0.8306 Jupiters,5.96,1996
3,55 Cancri c,41,0.1714 Jupiters,5.96,2004
4,55 Cancri d,41,3.878 Jupiters,5.96,2002
5,55 Cancri e,41,7.99 Earths,5.96,2004
6,55 Cancri f,41,0.141 Jupiters,5.96,2007
7,61 Virginis b,28,5.1 Earths,4.735,2009
8,61 Virginis c,28,18.2 Earths,4.735,2009
9,61 Virginis d,28,22.9 Earths,4.735,2009
10,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
11,70 Virginis b,58,7.49 Jupiters,4.96808,1996
12,75 Ceti b,271,2.479 Jupiters,5.3532,2012
13,75 Ceti c,271,0.912 Jupiters,5.3532,2023
14,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
15,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
16,81 Ceti b,330,3.307 Jupiters,5.64307,2008
17,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
18,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
19,AB Aurigae b,529,9 Jupiters,7.076,2022
20,AB Pictoris b,163,13.5 Jupiters,9.13,2005
21,AF Leporis b,88,3.2 Jupiters,6.332,2023
22,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
23,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
24,AU Microscopii b,32,20.12 Earths,8.81,2020
25,51 Eridani b,97,2 Jupiters,5.21149,2015
26,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
27,55 Cancri b,41,0.8306 Jupiters,5.96,1996
28,55 Cancri c,41,0.1714 Jupiters,5.96,2004
29,55 Cancri d,41,3.878 Jupiters,5.96,2002
30,55 Cancri e,41,7.99 Earths,5.96,2004
31,55 Cancri f,41,0.141 Jupiters,5.96,2007
32,61 Virginis b,28,5.1 Earths,4.735,2009
33,61 Virginis c,28,18.2 Earths,4.735,2009
34,61 Virginis d,28,22.9 Earths,4.735,2009
35,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
36,70 Virginis b,58,7.49 Jupiters,4.96808,1996
37,75 Ceti b,271,2.479 Jupiters,5.3532,2012
38,75 Ceti c,271,0.912 Jupiters,5.3532,2023
39,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
40,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
41,81 Ceti b,330,3.307 Jupiters,5.64307,2008
42,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
43,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
44,AB Aurigae b,529,9 Jupiters,7.076,2022
45,AB Pictoris b,163,13.5 Jupiters,9.13,2005
46,AF Leporis b,88,3.2 Jupiters,6.332,2023
47,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
48,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
49,AU Microscopii b,32,20.12 Earths,8.81,2020
50,51 Eridani b,97,2 Jupiters,5.21149,2015
51,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
52,55 Cancri b,41,0.8306 Jupiters,5.96,1996
53,55 Cancri c,41,0.1714 Jupiters,5.96,2004
54,55 Cancri d,41,3.878 Jupiters,5.96,2002
55,55 Cancri e,41,7.99 Earths,5.96,2004
56,55 Cancri f,41,0.141 Jupiters,5.96,2007
57,61 Virginis b,28,5.1 Earths,4.735,2009
58,61 Virginis c,28,18.2 Earths,4.735,2009
59,61 Virginis d,28,22.9 Earths,4.735,2009
60,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
61,70 Virginis b,58,7.49 Jupiters,4.96808,1996
62,75 Ceti b,271,2.479 Jupiters,5.3532,2012
63,75 Ceti c,271,0.912 Jupiters,5.3532,2023
64,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
65,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
66,81 Ceti b,330,3.307 Jupiters,5.64307,2008
67,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
68,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
69,AB Aurigae b,529,9 Jupiters,7.076,2022
70,AB Pictoris b,163,13.5 Jupiters,9.13,2005
71,AF Leporis b,88,3.2 Jupiters,6.332,2023
72,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
73,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
74,AU Microscopii b,32,20.12 Earths,8.81,2020
75,51 Eridani b,97,2 Jupiters,5.21149,2015
76,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
77,55 Cancri b,41,0.8306 Jupiters,5.96,1996
78,55 Cancri c,41,0.1714 Jupiters,5.96,2004
79,55 Cancri d,41,3.878 Jupiters,5.96,2002
80,55 Cancri e,41,7.99 Earths,5.96,2004
81,55 Cancri f,41,0.141 Jupiters,5.96,2007
82,61 Virginis b,28,5.1 Earths,4.735,2009
83,61 Virginis c,28,18.2 Earths,4.735,2009
84,61 Virginis d,28,22.9 Earths,4.735,2009
85,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
86,70 Virginis b,58,7.49 Jupiters,4.96808,1996
87,75 Ceti b,271,2.479 Jupiters,5.3532,2012
88,75 Ceti c,271,0.912 Jupiters,5.3532,2023
89,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
90,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
91,81 Ceti b,330,3.307 Jupiters,5.64307,2008
92,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
93,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
94,AB Aurigae b,529,9 Jupiters,7.076,2022
95,AB Pictoris b,163,13.5 Jupiters,9.13,2005
96,AF Leporis b,88,3.2 Jupiters,6.332,2023
97,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
98,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
99,AU Microscopii b,32,20.12 Earths,8.81,2020
100,51 Eridani b,97,2 Jupiters,5.21149,2015
101,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
102,55 Cancri b,41,0.8306 Jupiters,5.96,1996
103,55 Cancri c,41,0.1714 Jupiters,5.96,2004
104,55 Cancri d,41,3.878 Jupiters,5.96,2002
105,55 Cancri e,41,7.99 Earths,5.96,2004
106,55 Cancri f,41,0.141 Jupiters,5.96,2007
107,61 Virginis b,28,5.1 Earths,4.735,2009
108,61 Virginis c,28,18.2 Earths,4.735,2009
